,coord,weather,base,main,wind,snow,clouds,dt,sys,timezone,id,name,cod,visibility,rain,message
13,"{'lon': 59.53, 'lat': 22.57}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 62.74, 'feels_like': 54.73, 'temp_min': 62.74, 'temp_max': 62.74, 'pressure': 1018, 'humidity': 46, 'sea_level': 1018, 'grnd_level': 1000}","{'speed': 10.85, 'deg': 338}",,{'all': 0},1580251611.0,"{'country': 'OM', 'sunrise': 1580265732, 'sunset': 1580305639}",14400.0,286245.0,Sur,200,,,
14,"{'lon': -72.07, 'lat': -45.58}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 55.4, 'feels_like': 48.18, 'temp_min': 55.4, 'temp_max': 55.4, 'pressure': 1012, 'humidity': 58}","{'speed': 9.17, 'deg': 250, 'gust': 20.8}",,{'all': 75},1580251651.0,"{'type': 1, 'id': 8491, 'country': 'CL', 'sunrise': 1580204213, 'sunset': 1580257510}",-10800.0,3894426.0,Coyhaique,200,10000.0,,
15,"{'lon': -96.67, 'lat': 40.8}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 29.19, 'feels_like': 22.89, 'temp_min': 26.6, 'temp_max': 30.99, 'pressure': 1019, 'humidity': 86}","{'speed': 3.36, 'deg': 30}",,{'all': 90},1580251861.0,"{'type': 1, 'id': 3248, 'country': 'US', 'sunrise': 1580218851, 'sunset': 1580254682}",-21600.0,5072006.0,Lincoln,200,16093.0,,
16,"{'lon': 19.23, 'lat': -34.42}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 64.99, 'feels_like': 66.96, 'temp_min': 64.99, 'temp_max': 64.99, 'pressure': 1012, 'humidity': 96}","{'speed': 5.01, 'deg': 261, 'gust': 7}",,{'all': 100},1580251893.0,"{'type': 3, 'id': 2006131, 'country': 'ZA', 'sunrise': 1580270394, 'sunset': 1580320324}",7200.0,3366880.0,Hermanus,200,,{'3h': 0.13},
17,"{'lon': 131.17, 'lat': 62.67}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': -30.69, 'feels_like': -40.11, 'temp_min': -30.69, 'temp_max': -30.69, 'pressure': 1039, 'humidity': 97, 'sea_level': 1039, 'grnd_level': 1015}","{'speed': 4.25, 'deg': 134}",,{'all': 0},1580251937.0,"{'country': 'RU', 'sunrise': 1580255769, 'sunset': 1580281210}",32400.0,2026160.0,Borogontsy,200,,,
18,"{'lon': -88.84, 'lat': 43.46}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 26.28, 'feels_like': 19.45, 'temp_min': 24.01, 'temp_max': 28.4, 'pressure': 1019, 'humidity': 79}","{'speed': 3.36, 'deg': 350}",,{'all': 90},1580251655.0,"{'type': 1, 'id': 6140, 'country': 'US', 'sunrise': 1580217360, 'sunset': 1580252415}",-21600.0,5245193.0,Beaver Dam,200,16093.0,,
19,,,,,,,,,,,,,404,,,city not found
20,"{'lon': 13.16, 'lat': 11.85}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 62.38, 'feels_like': 53.02, 'temp_min': 62.38, 'temp_max': 62.38, 'pressure': 1014, 'humidity': 16, 'sea_level': 1014, 'grnd_level': 976}","{'speed': 7.07, 'deg': 3}",,{'all': 7},1580251747.0,"{'country': 'NG', 'sunrise': 1580189546, 'sunset': 1580231261}",3600.0,2331447.0,Maiduguri,200,,,
21,"{'lon': 168.86, 'lat': -46.19}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,"{'temp': 66.99, 'feels_like': 66.02, 'temp_min': 66.99, 'temp_max': 66.99, 'pressure': 1005, 'humidity': 76}","{'speed': 7, 'deg': 232, 'gust': 15.01}",,{'all': 62},1580251755.0,"{'type': 3, 'id': 2008959, 'country': 'NZ', 'sunrise': 1580232709, 'sunset': 1580286176}",46800.0,6201424.0,Mataura,200,,,
22,"{'lon': 123.37, 'lat': 66.77}","[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",model,"{'temp': -20.29, 'feels_like': -40.11, 'temp_min': -20.29, 'temp_max': -20.29, 'pressure': 1026, 'humidity': 96, 'sea_level': 1026, 'grnd_level': 1020}","{'speed': 22.97, 'deg': 170}",{'3h': 0.44},{'all': 100},1580251418.0,"{'country': 'RU', 'sunrise': 1580259928, 'sunset': 1580280796}",32400.0,2012530.0,Zhigansk,200,,,
23,"{'lon': 27.91, 'lat': -33.02}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",model,"{'temp': 69.17, 'feels_like': 65.97, 'temp_min': 69.17, 'temp_max': 69.17, 'pressure': 1015, 'humidity': 56, 'sea_level': 1015, 'grnd_level': 1011}","{'speed': 7.25, 'deg': 286}",,{'all': 0},1580251717.0,"{'country': 'ZA', 'sunrise': 1580268477, 'sunset': 1580318074}",7200.0,1006984.0,East London,200,,,
24,,,,,,,,,,,,,404,,,city not found
25,"{'lon': 31.11, 'lat': 70.37}","[{'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]",stations,"{'temp': 10.4, 'feels_like': 1.15, 'temp_min': 8.6, 'temp_max': 12.2, 'pressure': 1013, 'humidity': 84}","{'speed': 5.82, 'deg': 360}",,{'all': 75},1580252043.0,"{'type': 1, 'id': 1682, 'country': 'NO', 'sunrise': 1580199434, 'sunset': 1580212756}",3600.0,777019.0,Vardo,200,10000.0,,
26,"{'lon': -124.16, 'lat': 40.6}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 55.9, 'feels_like': 52.3, 'temp_min': 55, 'temp_max': 57, 'pressure': 1026, 'humidity': 76}","{'speed': 5.82, 'deg': 230}",,{'all': 90},1580252047.0,"{'type': 1, 'id': 3217, 'country': 'US', 'sunrise': 1580225417, 'sunset': 1580261313}",-28800.0,5563839.0,Fortuna,200,12874.0,,
27,"{'lon': 36.7, 'lat': 1.1}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",model,"{'temp': 64.24, 'feels_like': 62.69, 'temp_min': 64.24, 'temp_max': 64.24, 'pressure': 1013, 'humidity': 81, 'sea_level': 1013, 'grnd_level': 838}","{'speed': 7.45, 'deg': 109}",,{'all': 100},1580252058.0,"{'country': 'KE', 'sunrise': 1580269442, 'sunset': 1580312889}",10800.0,187725.0,Maralal,200,,{'3h': 0.13},
28,"{'lon': -156.47, 'lat': 20.89}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 77.95, 'feels_like': 74.75, 'temp_min': 73.99, 'temp_max': 82.4, 'pressure': 1019, 'humidity': 61}","{'speed': 13.87, 'deg': 40}",,{'all': 20},1580252053.0,"{'type': 1, 'id': 7851, 'country': 'US', 'sunrise': 1580231027, 'sunset': 1580271214}",-36000.0,5847411.0,Kahului,200,16093.0,,
29,,,,,,,,,,,,,404,,,city not found
30,"{'lon': -134.97, 'lat': -23.12}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",model,"{'temp': 79.59, 'feels_like': 82.92, 'temp_min': 79.59, 'temp_max': 79.59, 'pressure': 1015, 'humidity': 80, 'sea_level': 1015, 'grnd_level': 1015}","{'speed': 10.31, 'deg': 18}",,{'all': 100},1580252075.0,"{'country': 'PF', 'sunrise': 1580222188, 'sunset': 1580269732}",-32400.0,4030556.0,Rikitea,200,,{'3h': 0.69},
